Top,Russian,Audio,English,Spanish,Example Russian 1,Example Russian 2,Example Russian 3,Audio 1,Audio 2,Audio 3,Example English 1,Example English 2,Example English 3,Example Spanish 1,Example Spanish 2,Example Spanish 3,Tag
210,това́рищ,,comrade,camarada,Мой това́рищ знает все о военной тактике.,Она была предана своему това́рищу.,Лидер всегда следует за своими това́рищами.,,,,My comrade knows all about military tactics.,She was loyal to her comrade.,A leader always follows their comrades.,Mi camarada conoce todo sobre tácticas militares.,Ella era leal a su camarada.,Un líder siempre sigue a sus camaradas.,noun
211,доро́га,,road,carretera,Я перешел доро́гу на зеленый свет.,По этой доро́ге ежедневно ездят много машин.,На длинной доро́ге можно увидеть красивые виды.,,,,I crossed the road on a green light.,Many cars drive on this road daily.,"On a long road, you can see beautiful views.",Crucé la carretera con el semáforo en verde.,Muchos coches circulan por esta carretera a diario.,En una carretera larga puedes ver paisajes hermosos.,noun
212,одна́ко,,however,sin embargo,"Он был устал, **однако** продолжал работать.","Я не знаю, что произошло, **однако** надеюсь на лучшее.","Она всегда очень занята, **однако** находит время для своих друзей.",,,,"He was tired, **however** he continued to work.","I don't know what happened, **however** I hope for the best.","She is always very busy, **however** she finds time for her friends.","Él estaba cansado, **sin embargo** siguió trabajando.","No sé qué pasó, **sin embargo** espero lo mejor.","Ella siempre está muy ocupada, **sin embargo** encuentra tiempo para sus amigos.",other
213,лежа́ть,,to lie,estar tumbado,Он обычно лежит на диване.,Они сейчас лежат на пляже.,Вчера кот лежал на кровати.,,,,He usually lies on the couch.,They are lying on the beach now.,Yesterday the cat was lying on the bed.,Él normalmente está tumbado en el sofá.,Ellos están tumbados en la playa ahora.,Ayer el gato estaba tumbado en la cama.,verb
214,и́менно,,exactly,exactamente,"Это и́менно то, что мне нужно.",Она пришла и́менно вовремя.,Перевод нужно делать и́менно так.,,,,This is exactly what I need.,She came exactly on time.,The translation should be done exactly like this.,Esto es exactamente lo que necesito.,Ella llegó exactamente a tiempo.,La traducción debe hacerse exactamente así.,other
215,окно́,,window,ventana,Я открыл окно́ утром.,Занавески закрывают окно́.,Чистое окно́ пропускает свет.,,,,I opened the window in the morning.,The curtains close the window.,A clean window lets in the light.,Abrí la ventana por la mañana.,Las cortinas cierran la ventana.,Un ventana limpia deja entrar la luz.,noun
216,никако́й,,no - any,ningún,Он не показал никакой интерес.,У неё нет никакой идеи.,Они не нашли никакого решения.,,,,He didn't show any interest.,She doesn't have any idea.,They didn't find any solution.,Él no mostró ningún interés.,Ella no tiene ninguna idea.,Ellos no encontraron ninguna solución.,pronoun
217,найти́,,to find,encontrar,Я обещаю найти ключи перед ужином.,Они нашли потерянного щенка в парке.,Вчера я нашла свои очки в сумке.,,,,I promise to find the keys before dinner.,They found a lost puppy in the park.,Yesterday I found my glasses in my bag.,Prometo encontrar las llaves antes de la cena.,Encontraron un cachorro perdido en el parque.,Ayer encontré mis gafas en mi bolso.,verb
218,писа́ть,,to write,escribir,Он всегда пишет красивые стихи.,Вы пишете отличные рассказы.,Она написала свою первую книгу.,,,,He always writes beautiful poems.,You write great stories.,She wrote her first book.,Él siempre escribe poemas hermosos.,Ustedes escriben grandes historias.,Ella escribió su primer libro.,verb
219,ко́мната,,room,habitación,Я убрал свою ко́мнату.,В ко́мнате было слишком много вещей.,В этой ко́мнате так уютно.,,,,I cleaned my room.,There were too many things in the room.,It's so cozy in this room.,Limpié mi habitación.,Había demasiadas cosas en la habitación.,Es tan acogedora esta habitación.,noun
220,Москва́,,Moscow,Moscú,Я еду в Москву для деловой встречи.,Москва столица России.,Москве 872 года.,,,,I am going to Moscow for a business meeting.,Moscow is the capital of Russia.,Moscow is 872 years old.,Voy a Moscú para una reunión de negocios.,Moscú es la capital de Rusia.,Moscú tiene 872 años.,noun
221,часть,,part,parte,Эта книга состоит из нескольких частей.,Я потерял часть своего сердца.,Он играет важную часть в нашей жизни.,,,,This book consists of several parts.,I lost a part of my heart.,He plays an important part in our life.,Este libro consiste de varias partes.,He perdido una parte de mi corazón.,Él juega un papel importante en nuestra vida.,noun
222,вообще́,,generally,en general,Он вообще́ не любит спорт.,Вообще́-то я согласен с тобой.,Это вообще́ не имеет значения.,,,,He generally doesn't like sports.,"Actually, I agree with you.",This doesn't matter at all.,Él en general no le gusta el deporte.,"De hecho, estoy de acuerdo contigo.",Esto no importa en absoluto.,adverb
223,кни́га,,book,libro,Я люблю читать хорошую книгу каждый вечер.,Эта книга очень увлекательна.,Книга лежала на столе открытой на странице.,,,,I love to read a good book every evening.,This book is very engaging.,The book was laying on the table open on a page.,Me encanta leer un buen libro cada noche.,Este libro es muy atrapante.,El libro estaba sobre la mesa abierto en una página.,noun
